;Unnamed: 0;Pays;Intitule Typologie 1;Question 3 : Y a  t il un sentiment de colere;bin_emotion_T5;Duree_traitement;size_texte;Date de premiere réponse;Prediction;ID
52;325;France;Brigade de gendarmerie;0;1;2;150;16/10/2019;0;280284
53;326;France;ANTS;0;0;3;160;18/10/2019;0;280039
54;327;France;Carsat;1;0;2;585;17/10/2019;0;280283
55;328;France;Brigade de gendarmerie;1;1;6;529;22/10/2019;0;280280
56;329;France;Brigade de gendarmerie;0;0;6;337;22/10/2019;0;280036
57;331;France;Unité Numérique;0;0;6;239;23/10/2019;0;280277
58;332;France;Unité Numérique;0;0;6;596;23/10/2019;0;280275
59;333;France;Préfecture;0;0;6;214;24/10/2019;0;280272
60;335;France;Impots.gouv.fr;0;0;591;356;31/05/2021;0;280270
61;336;France;Service des Impôts des particuliers;1;1;591;1421;31/05/2021;0;280267
62;337;France;Brigade de gendarmerie;0;0;-190;1110;11/04/2019;0;280033
63;338;France;ANTS;0;0;4;551;22/10/2019;0;280030
64;339;France;Impots.gouv.fr;1;0;590;737;31/05/2021;0;280024
65;340;France;Carsat;1;0;5;491;24/10/2019;0;280021
66;341;France;DGFIP;0;0;590;1618;31/05/2021;0;280018
67;342;France;Unité Numérique;0;0;4;546;23/10/2019;0;280015
68;343;France;Service des Impôts des particuliers;0;0;589;232;31/05/2021;0;280014
69;344;France;Brigade de gendarmerie;0;0;2;237;23/10/2019;0;280011
70;345;France;Carsat;1;0;7;696;28/10/2019;0;280264
71;347;France;Service des Impôts des particuliers;1;1;587;1849;31/05/2021;0;280005
72;349;France;Brigade de gendarmerie;0;0;7;638;29/10/2019;0;280002
73;350;France;ANTS;0;0;1;292;24/10/2019;0;279999
74;352;France;Unité Numérique;0;0;-196;106;11/04/2019;0;280263
75;353;France;Service des Impôts des particuliers;1;0;585;515;31/05/2021;0;279996
76;354;France;ANTS;0;0;1;517;25/10/2019;0;280262
77;356;France;MSA;0;0;5;220;29/10/2019;0;280259
78;358;France;Ville - Commune;0;0;4;62;28/10/2019;0;279993
79;360;France;Carsat;1;0;4;483;29/10/2019;0;279990
80;361;France;Carsat;0;0;-136;433;11/06/2019;0;279988
81;362;France;Carsat;0;0;-136;544;11/06/2019;0;279985
82;363;France;Carsat;1;0;4;799;29/10/2019;0;279982
83;364;France;Carsat;1;0;4;809;29/10/2019;0;280253
84;365;France;Carsat;1;0;4;283;29/10/2019;0;279979
85;366;France;Carsat;1;0;-167;963;11/05/2019;0;279976
86;367;France;Carsat;1;1;4;491;29/10/2019;0;279973
87;368;France;Carsat;0;1;-75;420;11/08/2019;0;279970
88;369;France;Carsat;1;1;4;438;29/10/2019;0;279967
89;370;France;Carsat;1;1;4;429;29/10/2019;0;280251
90;371;France;Carsat;1;0;4;218;29/10/2019;0;279964
91;372;France;Carsat;1;1;4;779;29/10/2019;0;279961
92;373;France;Carsat;0;0;4;426;29/10/2019;0;279958
93;374;France;Carsat;1;1;-167;270;11/05/2019;0;279955
94;591;France;Brigade de gendarmerie;0;1;17;162;14/01/2020;0;279952
95;592;France;Carsat;1;0;183;465;01/07/2020;0;279949
96;594;France;Carsat;1;0;214;1533;01/08/2020;0;279946
97;596;France;Carsat;1;1;13;1584;13/01/2020;0;280247
98;597;France;Carsat;0;0;245;293;01/09/2020;0;279943
99;600;France;ANTS;1;0;60;1292;01/03/2020;0;279940
100;601;France;Carsat;1;0;26;2917;27/01/2020;0;279937
101;605;France;Carsat;1;0;485;512;31/05/2021;0;279936
102;606;France;Carsat;1;1;182;985;01/08/2020;0;279933
103;607;France;Brigade de gendarmerie;0;0;-18;183;14/01/2020;0;279930
104;608;France;ANTS;1;0;29;432;01/03/2020;0;279927
105;609;France;Brigade de gendarmerie;1;0;-71;508;21/01/2020;0;279924
106;610;France;Unité Numérique;0;0;-78;256;14/01/2020;0;280244
107;612;France;Carsat;1;0;-108;1290;14/01/2020;0;279921
108;613;France;Carsat;0;0;-131;1168;22/01/2020;0;279918
109;615;France;Service des Impôts des particuliers;0;1;353;404;20/05/2021;0;279915
110;616;France;Carsat;0;0;-139;614;14/01/2020;0;279912
111;617;France;Carsat;1;0;-139;1654;14/01/2020;0;279910
112;618;France;Carsat;1;0;-140;1687;13/01/2020;0;280242
113;619;France;Préfecture;1;1;-136;1561;17/01/2020;0;279907
114;620;France;ANTS;1;1;351;1657;17/06/2021;0;279904
115;621;France;Carsat;0;1;-170;723;13/01/2020;0;280240
116;622;France;Carsat;0;0;-169;304;14/01/2020;0;279901
117;623;France;Caisse régionale URSSAF;1;0;-120;2364;03/03/2020;0;279898
118;624;France;ANTS;1;0;-170;336;13/01/2020;0;279895
119;625;France;ANTS;1;0;-201;297;13/01/2020;0;279892
120;628;France;ANTS;1;1;30;280;01/10/2020;0;279889
121;630;France;ANTS;1;1;-232;833;13/01/2020;0;279886
122;631;France;ANTS;1;1;-225;256;20/01/2020;0;280237
123;633;France;ANTS;1;0;-225;385;20/01/2020;0;279885
124;634;France;ANTS;0;0;-230;188;15/01/2020;0;279882
125;635;France;ANTS;1;0;62;245;02/11/2020;0;279879
126;637;France;DGFIP;1;1;272;441;31/05/2021;0;279876
127;639;France;ANTS;1;0;30;288;01/10/2020;0;279873
128;641;France;ANTS;0;0;-230;599;15/01/2020;0;279867
129;642;France;ANTS;1;1;-260;226;15/01/2020;0;279864
130;643;France;ANTS;0;1;-260;208;15/01/2020;0;279861
131;644;France;Carsat;1;1;-262;893;13/01/2020;0;279860
132;646;France;ANTS;1;0;-260;1672;15/01/2020;0;279857
133;647;France;ANTS;0;0;-260;640;15/01/2020;0;279854
134;648;France;ANTS;1;1;-255;1047;20/01/2020;0;279851
135;649;France;Carsat;0;0;-191;987;24/03/2020;0;279848
136;650;France;ANTS;1;1;-260;432;15/01/2020;0;279845
137;651;France;DGFIP;1;0;242;1305;31/05/2021;0;279842
138;652;France;Carsat;1;0;-286;1067;20/01/2020;0;279839
139;653;France;DGFIP;0;0;200;170;20/05/2021;0;279836
140;654;France;Franceconnect;1;1;-291;202;15/01/2020;0;279833
141;655;France;ANTS;1;0;-291;720;15/01/2020;0;279830
142;656;France;ANTS;0;1;-321;1423;15/01/2020;0;279827
143;657;France;DGFIP;0;0;170;831;20/05/2021;0;279824
144;659;France;DGFIP;1;1;181;1144;31/05/2021;0;279821
145;662;France;ANTS;1;0;-321;380;15/01/2020;0;279818
146;665;France;ANTS;1;0;2;1071;15/01/2020;0;279815
147;666;France;ANTS;1;0;2;413;15/01/2020;0;279812
148;669;France;Brigade de gendarmerie;0;0;1;657;14/01/2020;0;279809
149;670;France;ANTS;1;1;2;1089;15/01/2020;0;279807
150;671;France;ANTS;1;1;9;3237;22/01/2020;0;279804
151;672;France;ANTS;0;0;2;667;15/01/2020;0;279798
152;673;France;Carsat;1;0;7;1017;20/01/2020;0;279795
153;674;France;ANTS;1;1;9;1801;22/01/2020;0;279792
154;675;France;DGFIP;1;0;2;489;15/01/2020;0;279789
155;677;France;ANTS;1;1;2;1046;16/01/2020;0;279786
156;678;France;ANTS;1;0;2;365;16/01/2020;0;279783
157;680;France;ANTS;1;1;2;1093;16/01/2020;0;279780
158;681;France;ANTS;0;0;2;527;16/01/2020;0;279777
159;682;France;Carsat;0;0;6;411;20/01/2020;0;279774
160;683;France;ANTS;0;1;2;316;16/01/2020;0;279771
161;684;France;Carsat;0;0;0;473;14/01/2020;0;280236
162;685;France;Préfecture;0;0;8;580;22/01/2020;0;279768
163;686;France;ANTS;1;1;2;185;16/01/2020;0;279765
164;687;France;Brigade de gendarmerie;0;0;7;1166;21/01/2020;0;279762
165;688;France;ANTS;0;1;2;1022;16/01/2020;0;279759
166;689;France;ANTS;1;0;2;251;16/01/2020;0;279756
167;690;France;Carsat;1;0;7;603;21/01/2020;0;279753
168;691;France;ANTS;1;1;2;743;16/01/2020;0;279750
169;693;France;AGENCE POLE EMPLOI (APE);0;0;6;755;21/01/2020;1;279747
170;695;France;ANTS;1;1;2;917;17/01/2020;0;279741
171;696;France;DGFIP;0;0;5;413;20/01/2020;0;279738
172;698;France;ANTS;1;0;11;580;27/01/2020;0;279735
173;699;France;ANTS;1;1;6;957;22/01/2020;0;279732
174;700;France;ANTS;1;0;6;885;22/01/2020;0;279728
175;702;France;Services Publics +;1;0;13;728;30/01/2020;0;280233
176;704;France;DGFIP;0;0;487;1894;20/05/2021;0;279725
177;706;France;Brigade de gendarmerie;0;0;4;268;24/01/2020;0;280256
178;707;France;CNAV;1;0;65;6853;25/03/2020;0;279722
179;708;France;ANTS;1;0;2;368;22/01/2020;0;279719
180;709;France;ANTS;0;0;2;135;22/01/2020;0;279716
181;710;France;ANTS;0;0;1;118;22/01/2020;0;279713
182;711;France;Ville - Commune;1;0;5;578;27/01/2020;0;279710
183;712;France;Brigade de gendarmerie;1;1;40;301;02/03/2020;0;279707
184;713;France;Brigade de gendarmerie;0;0;1;228;24/01/2020;0;279701
185;714;France;MSA;0;0;1;667;24/01/2020;0;279698
186;715;France;Carsat;1;0;22;1056;14/02/2020;0;279695
187;716;France;DGFIP;1;1;483;436;20/05/2021;0;279692
188;717;France;Brigade de gendarmerie;0;0;131;200;02/06/2020;0;279689
189;718;France;ANTS;0;0;7;233;31/01/2020;0;279686
190;719;France;AGENCE POLE EMPLOI (APE);0;0;252;240;02/10/2020;1;279680
191;720;France;MSA;0;0;69;216;02/04/2020;0;279677
192;721;France;Brigade de gendarmerie;1;1;129;887;02/06/2020;0;279674
193;722;France;Préfecture;1;0;98;995;02/05/2020;0;279668
194;724;France;Brigade de gendarmerie;0;0;129;715;02/06/2020;0;279665
195;727;France;Carsat;1;0;58;492;23/03/2020;0;279662
196;730;France;DGFIP;0;0;1;102;28/01/2020;0;279659
197;731;France;ANTS;1;1;95;1297;02/05/2020;0;279656
198;734;France;Prime à la conversion;0;0;27;353;25/02/2020;0;279653
199;735;France;ANTS;0;0;94;320;02/05/2020;0;279650
200;736;France;AGENCE POLE EMPLOI (APE);0;0;247;1034;02/10/2020;1;279647
201;737;France;Prime à la conversion;0;0;27;371;25/02/2020;0;279644
202;738;France;AGENCE POLE EMPLOI (APE);0;0;247;334;02/10/2020;1;279638
203;739;France;ANTS;1;0;155;522;02/07/2020;0;279635
204;740;France;ANTS;0;1;1;185;31/01/2020;0;279632
205;742;France;Prime à la conversion;0;0;25;391;25/02/2020;0;279629
206;743;France;AGENCE POLE EMPLOI (APE);0;0;245;631;02/10/2020;1;279626
207;745;France;Brigade de gendarmerie;0;0;123;227;02/06/2020;0;279623
208;746;France;AGENCE POLE EMPLOI (APE);0;0;245;387;02/10/2020;1;279622
209;747;France;Brigade de gendarmerie;0;1;152;961;02/06/2020;0;279619
210;748;France;DGFIP;1;0;48;762;19/02/2020;0;279616
211;749;France;Brigade de gendarmerie;0;0;152;441;02/06/2020;0;279613
212;750;France;Carsat;0;1;335;502;02/12/2020;0;279610
213;751;France;Carsat;1;0;50;768;23/03/2020;0;279607
214;752;France;Brigade de gendarmerie;0;0;121;436;02/06/2020;0;279604
215;753;France;Carsat;0;0;90;130;02/05/2020;0;279601
216;754;France;ANTS;0;0;90;630;02/05/2020;0;279598
217;755;France;ANTS;0;0;61;121;02/05/2020;0;279596
218;756;France;Brigade de gendarmerie;0;0;92;340;02/06/2020;0;279593
219;758;France;Service des Impôts des particuliers;0;0;-45;252;17/02/2020;0;279590
220;760;France;ANTS;0;0;61;103;02/07/2020;0;279587
221;761;France;Unité Numérique;0;1;61;371;02/07/2020;0;279584
222;763;France;ANTS;0;0;30;1126;02/07/2020;0;279581
223;764;France;MSA;0;0;122;269;02/10/2020;0;279578
224;765;France;Service des Impôts des particuliers;1;1;352;843;20/05/2021;0;279575
225;767;France;ANTS;1;1;123;220;02/11/2020;0;279572
226;769;France;Caisse régionale URSSAF;0;1;179;865;28/12/2020;0;279569
227;771;France;MSA;0;0;92;364;02/10/2020;0;279566
228;772;France;Service des Impôts des particuliers;0;0;322;954;20/05/2021;0;279563
229;773;France;ANTS;0;0;123;146;02/11/2020;0;279557
230;774;France;ANTS;1;1;-134;959;19/02/2020;0;279554
231;775;France;ANTS;0;1;92;556;02/11/2020;0;279551
232;776;France;ANTS;1;0;92;504;02/11/2020;0;279548
233;777;France;Brigade de gendarmerie;0;0;92;307;02/11/2020;0;279545
234;778;France;Brigade de gendarmerie;0;0;61;232;02/11/2020;0;279543
235;779;France;Info Retraite;0;1;-162;303;24/03/2020;0;279540
236;780;France;Carsat;1;0;-232;480;13/02/2020;0;279537
237;781;France;Carsat;0;0;61;301;02/12/2020;0;279534
238;782;France;Carsat;1;0;-231;558;14/02/2020;0;279531
239;783;France;Carsat;1;0;-231;301;14/02/2020;0;279528
240;784;France;Carsat;1;0;1;515;03/10/2020;0;279525
241;785;France;Carsat;0;0;-231;394;14/02/2020;0;279522
242;786;France;Carsat;0;0;-231;907;14/02/2020;0;279519
243;787;France;Carsat;1;0;-231;481;14/02/2020;0;279516
244;789;France;Carsat;1;1;-231;233;14/02/2020;0;279513
245;792;France;Carsat;0;1;-226;1073;19/02/2020;0;279510
246;795;France;Carsat;0;0;-232;123;13/02/2020;0;279507
247;796;France;Carsat;1;1;-227;1422;18/02/2020;0;279504
248;799;France;Carsat;1;1;-231;438;14/02/2020;0;279501
249;800;France;AGENCE POLE EMPLOI (APE);0;0;-218;201;27/02/2020;0;279498
250;801;France;Carsat;1;1;-232;862;13/02/2020;0;279495
251;802;France;Carsat;1;1;-185;2026;31/03/2020;0;279492
252;803;France;Caisse régionale URSSAF;0;1;-213;885;03/03/2020;0;279488
253;804;France;Carsat;0;0;-197;790;19/03/2020;0;279482
254;805;France;Carsat;0;0;-232;769;13/02/2020;0;279479
255;807;France;Impots.gouv.fr;1;0;230;702;20/05/2021;0;279476
256;808;France;AGENCE POLE EMPLOI (APE);1;1;-224;1253;21/02/2020;0;279470
257;810;France;Service des Impôts des particuliers;1;0;266;1218;25/06/2021;0;279467
258;811;France;Carsat;0;0;-228;1780;17/02/2020;0;279465
259;812;France;Carsat;1;0;-185;851;31/03/2020;0;279462
260;813;France;Brigade de gendarmerie;0;0;30;85;02/12/2020;0;279459
261;814;France;Caisse régionale URSSAF;1;1;-244;673;03/03/2020;0;279456
262;815;France;Carsat;0;0;-262;1739;14/02/2020;0;279453
263;816;France;ANTS;0;0;30;48;02/12/2020;0;279447
264;817;France;Carsat;1;0;-258;311;18/02/2020;0;279444
265;818;France;MSA;1;1;-251;695;25/02/2020;0;279441
266;819;France;Brigade de gendarmerie;0;0;-262;993;14/02/2020;0;279439
267;820;France;Carsat;1;0;-274;584;03/03/2020;0;279436
268;821;France;Carsat;0;0;-292;413;14/02/2020;0;279430
269;823;France;Carsat;0;0;-254;317;23/03/2020;0;279427
270;825;France;Carsat;1;1;11;508;24/02/2020;0;279424
271;826;France;Carsat;1;0;203;997;03/09/2020;0;279421
272;828;France;Carsat;1;1;203;264;03/09/2020;0;279418
273;829;France;Carsat;1;0;35;1004;19/03/2020;0;279415
274;830;France;Carsat;0;0;5;380;19/02/2020;0;279412
275;832;France;ANTS;1;0;5;775;19/02/2020;0;279409
276;834;France;MSA;1;0;5;956;19/02/2020;0;279406
277;836;France;Carsat;1;1;45;1496;31/03/2020;0;279403
278;837;France;Brigade de gendarmerie;0;0;3;59;18/02/2020;0;280232
279;838;France;Brigade de gendarmerie;0;0;2;76;18/02/2020;0;279400
280;839;France;Carsat;1;0;8;712;24/02/2020;0;279397
281;840;France;Carsat;0;0;44;1431;31/03/2020;0;279394
282;841;France;Carsat;0;0;1;831;18/02/2020;0;279391
283;842;France;ANTS;1;0;4;1896;21/02/2020;0;279388
284;843;France;ANTS;1;1;2;314;19/02/2020;0;279387
285;844;France;ANTS;0;0;1;442;19/02/2020;0;279384
286;845;France;ANTS;1;1;1;253;19/02/2020;0;279381
287;846;France;ANTS;1;1;7;198;25/02/2020;0;279378
288;847;France;Brigade de gendarmerie;1;1;2;430;20/02/2020;0;279375
289;848;France;ETABLISSEMENT HOSPITALIER;1;0;6;998;24/02/2020;0;279372
290;849;France;Carsat;0;0;5;40;24/02/2020;0;279369
291;850;France;Brigade de gendarmerie;0;0;1;226;20/02/2020;0;279366
292;851;France;Brigade de gendarmerie;0;0;1;374;20/02/2020;0;279363
293;852;France;ANTS;0;1;2;362;21/02/2020;0;279360
294;854;France;Brigade de gendarmerie;0;0;2;65;21/02/2020;0;279357
295;857;France;ANTS;1;0;6;1183;26/02/2020;0;279354
296;860;France;Brigade de gendarmerie;1;1;5;820;25/02/2020;0;279351
297;861;France;Brigade de gendarmerie;0;0;1;121;21/02/2020;0;279348
298;864;France;Carsat;0;0;42;65;03/04/2020;0;279345
299;865;France;Brigade de gendarmerie;0;0;0;514;21/02/2020;0;279342
300;866;France;Carsat;1;0;39;1015;31/03/2020;0;279339
301;867;France;Préfecture;0;0;4;109;25/02/2020;0;279336
302;868;France;ANTS;0;0;3;255;25/02/2020;0;279333
303;869;France;ANTS;0;0;2;334;25/02/2020;0;279330
304;870;France;Brigade de gendarmerie;0;0;2;209;26/02/2020;0;279327
305;872;France;stationnement.gouv.fr;0;0;486;91;24/06/2021;0;279321
306;873;France;Brigade de gendarmerie;0;0;2;108;26/02/2020;0;279318
307;875;France;Brigade de gendarmerie;0;0;39;145;03/04/2020;0;279315
308;876;France;ANTS;0;1;1;617;25/02/2020;0;279312
309;877;France;Brigade de gendarmerie;0;0;1;223;26/02/2020;0;279309
310;878;France;Brigade de gendarmerie;0;0;252;97;03/11/2020;0;279307
311;879;France;Carsat;1;0;38;382;03/04/2020;0;279304
312;880;France;Caisse régionale URSSAF;1;0;7;936;03/03/2020;0;279301
313;881;France;Brigade de gendarmerie;0;1;17;331;13/03/2020;0;279298
314;882;France;Carsat;0;0;67;192;03/05/2020;0;280229
315;883;France;Carsat;1;0;34;882;31/03/2020;0;279295
316;884;France;Caisse régionale URSSAF;1;0;28;1101;25/03/2020;0;279292
317;885;France;Brigade de gendarmerie;0;0;1;472;27/02/2020;0;279289
318;886;France;Brigade de gendarmerie;0;0;2;207;28/02/2020;0;279286
319;888;France;Brigade de gendarmerie;1;0;36;772;03/04/2020;0;279283
320;890;France;Brigade de gendarmerie;0;0;249;65;03/11/2020;0;279280
321;891;France;Brigade de gendarmerie;0;0;35;760;03/04/2020;0;279277
322;893;France;Brigade de gendarmerie;0;0;248;214;03/11/2020;0;279274
323;894;France;Brigade de gendarmerie;0;0;248;189;03/11/2020;0;279271
324;895;France;AGENCE POLE EMPLOI (APE);0;0;103;107;15/04/2020;1;279268
325;897;France;DGFIP;1;1;503;523;20/05/2021;0;279265
326;899;France;MSA;0;0;60;187;03/04/2020;0;279262
327;901;France;Brigade de gendarmerie;0;1;29;200;03/03/2020;0;279259
328;902;France;ANTS;0;0;121;227;03/06/2020;0;279256
329;903;France;ANTS;0;0;60;239;03/04/2020;0;279253
330;904;France;AGENCE POLE EMPLOI (APE);0;0;13;1135;16/03/2020;1;279250
331;905;France;Services Publics +;1;1;31;547;03/04/2020;0;279247
332;906;France;Brigade de gendarmerie;0;0;245;377;03/11/2020;0;279244
333;907;France;Brigade de gendarmerie;0;0;245;204;03/11/2020;0;279241
334;908;France;Caisse régionale URSSAF;1;1;358;458;24/02/2021;0;279238
335;909;France;Brigade de gendarmerie;0;0;214;365;03/11/2020;0;279235
336;910;France;Brigade de gendarmerie;0;1;-21;516;13/03/2020;0;279232
337;911;France;Brigade de gendarmerie;0;0;-21;175;13/03/2020;0;279229
338;912;France;Carsat;0;0;-11;912;23/03/2020;0;279226
339;913;France;Brigade de gendarmerie;0;0;214;450;03/11/2020;0;279223
340;914;France;Brigade de gendarmerie;0;0;214;305;03/11/2020;0;279220
341;915;France;Brigade de gendarmerie;0;0;214;277;03/11/2020;0;279217
342;916;France;Brigade de gendarmerie;0;0;-51;444;13/03/2020;0;279214
343;917;France;Carsat;0;0;214;323;03/12/2020;0;279211
344;919;France;Services Publics +;0;0;92;1123;03/10/2020;0;279208
345;922;France;Brigade de gendarmerie;0;0;-109;681;16/03/2020;0;280227
346;925;France;CAF;0;0;-130;417;26/03/2020;0;279205
347;926;France;Brigade de gendarmerie;0;0;-138;906;18/03/2020;0;279202
348;929;France;Brigade de gendarmerie;0;0;-170;561;17/03/2020;0;279201
349;930;France;Brigade de gendarmerie;0;0;-174;381;13/03/2020;0;279198
350;931;France;Caisse régionale URSSAF;0;0;139;755;20/01/2021;0;279195
351;932;France;Brigade de gendarmerie;0;0;91;257;03/12/2020;0;279192
352;933;France;Brigade de gendarmerie;0;0;-204;234;13/03/2020;0;279189
353;934;France;Carsat;0;0;-230;365;18/03/2020;0;279186
354;935;France;Carsat;1;0;-225;1962;23/03/2020;0;279183
355;937;France;Carsat;0;1;-225;728;23/03/2020;0;279180
356;938;France;DGFIP;1;0;198;670;20/05/2021;0;279177
357;940;France;COMMISSARIAT DE POLICE;0;1;-235;463;13/03/2020;0;279174
358;941;France;Brigade de gendarmerie;0;0;-235;428;13/03/2020;0;279171
359;942;France;Brigade de gendarmerie;0;0;-235;80;13/03/2020;0;279168
360;943;France;Brigade de gendarmerie;0;0;-235;71;13/03/2020;0;279165
361;944;France;Brigade de gendarmerie;0;0;-235;259;13/03/2020;0;279162
362;945;France;ANTS;1;0;-261;1220;17/03/2020;0;279159
363;946;France;ANTS;0;0;-261;264;17/03/2020;0;279156
364;947;France;ANTS;1;0;4;645;17/03/2020;0;279153
365;948;France;AGENCE POLE EMPLOI (APE);0;0;33;815;15/04/2020;1;279150
366;949;France;CAF;1;1;12;672;26/03/2020;0;279149
367;950;France;Brigade de gendarmerie;0;0;3;226;17/03/2020;0;279146
368;951;France;ANTS;0;0;2;846;17/03/2020;0;279143
369;953;France;CAF;0;1;402;556;22/04/2021;0;279140
370;955;France;Brigade de gendarmerie;0;0;2;747;18/03/2020;0;279137
371;956;France;Brigade de gendarmerie;0;0;2;108;18/03/2020;0;279134
372;958;France;Unité Numérique;0;0;1;260;18/03/2020;0;279131
373;959;France;Unité Numérique;0;0;1;53;18/03/2020;0;279128
374;960;France;Unité Numérique;0;0;1;271;18/03/2020;0;279125
375;962;France;Carsat;1;0;10;625;31/03/2020;0;279122
376;964;France;ANTS;0;0;65;126;04/06/2020;0;279116
377;966;France;CAF;1;0;47;583;20/04/2020;0;279119
378;967;France;ANTS;1;0;10;1702;14/04/2020;0;279113
379;968;France;Carsat;0;0;-104;473;22/04/2020;0;279110
380;969;France;Chèque énergie;1;1;9;907;23/04/2020;0;279107
381;970;France;Chèque énergie;0;0;8;281;23/04/2020;0;279104
382;971;France;Chèque énergie;0;0;7;404;23/04/2020;0;279101
383;972;France;Chèque énergie;0;1;7;235;23/04/2020;0;279098
384;973;France;Chèque énergie;0;0;34;808;25/05/2020;0;279095
385;974;France;Chèque énergie;0;0;68;86;29/06/2020;0;279092
386;975;France;Chèque énergie;1;1;67;486;29/06/2020;0;279089
387;976;France;DGFIP;1;1;392;1565;20/05/2021;0;279086
388;977;France;CAF;1;0;73;974;05/07/2020;0;279083
389;978;France;ANTS;1;1;3;1425;28/04/2020;0;279080
390;979;France;DGFIP;1;0;400;378;31/05/2021;0;279077
391;980;France;CAF;1;0;69;648;05/07/2020;0;279074
392;981;France;ANTS;1;1;2;565;30/04/2020;0;279071
393;982;France;Centre national PAJEMPLOI;0;0;369;1010;03/05/2021;0;279068
394;984;France;ANTS;0;0;-25;849;05/04/2020;0;279065
395;987;France;DGFIP;0;0;452;473;31/05/2021;0;279062
396;990;France;Chèque énergie;0;0;55;756;29/06/2020;0;279059
397;991;France;ANTS;1;1;153;980;05/10/2020;0;279056
398;994;France;Carsat;1;0;93;219;06/09/2020;0;279053
399;995;France;CPAM;1;0;-51;1039;15/05/2020;0;279050
400;996;France;Carsat;0;0;-109;533;19/05/2020;0;279047
401;997;France;Brigade de gendarmerie;0;1;-175;334;14/05/2020;0;279044
402;998;France;ANTS;1;0;-204;747;15/05/2020;0;279041
403;999;France;MSA;1;1;13;177;28/05/2020;0;279038
404;1000;France;Brigade de gendarmerie;1;0;0;486;15/05/2020;0;279035
405;1002;France;DGFIP;0;0;368;296;20/05/2021;0;279032
