;Pays;Intitule Typologie 1;Question 3 : Y a  t il un sentiment de colere;bin_emotion_T5;Duree_traitement;size_texte;Date de premiere réponse;Prediction
338;France;ANTS;0;0;4;551;22/10/2019;0
339;France;Impots.gouv.fr;1;0;590;737;31/05/2021;0
340;France;Carsat;1;0;5;491;24/10/2019;0
341;France;DGFIP;0;0;590;1618;31/05/2021;0
342;France;Unité Numérique;0;0;4;546;23/10/2019;0
343;France;Service des Impôts des particuliers;0;0;589;232;31/05/2021;0
344;France;Brigade de gendarmerie;0;0;2;237;23/10/2019;0
345;France;Carsat;1;0;7;696;28/10/2019;0
347;France;Service des Impôts des particuliers;1;1;587;1849;31/05/2021;0
349;France;Brigade de gendarmerie;0;0;7;638;29/10/2019;0
350;France;ANTS;0;0;1;292;24/10/2019;0
352;France;Unité Numérique;0;0;-196;106;11/04/2019;0
353;France;Service des Impôts des particuliers;1;0;585;515;31/05/2021;0
354;France;ANTS;0;0;1;517;25/10/2019;0
356;France;MSA;0;0;5;220;29/10/2019;0
358;France;Ville - Commune;0;0;4;62;28/10/2019;0
360;France;Carsat;1;0;4;483;29/10/2019;0
361;France;Carsat;0;0;-136;433;11/06/2019;0
362;France;Carsat;0;0;-136;544;11/06/2019;0
363;France;Carsat;1;0;4;799;29/10/2019;0
364;France;Carsat;1;0;4;809;29/10/2019;0
365;France;Carsat;1;0;4;283;29/10/2019;0
366;France;Carsat;1;0;-167;963;11/05/2019;0
367;France;Carsat;1;1;4;491;29/10/2019;0
368;France;Carsat;0;1;-75;420;11/08/2019;0
369;France;Carsat;1;1;4;438;29/10/2019;0
370;France;Carsat;1;1;4;429;29/10/2019;0
371;France;Carsat;1;0;4;218;29/10/2019;0
372;France;Carsat;1;1;4;779;29/10/2019;0
373;France;Carsat;0;0;4;426;29/10/2019;0
374;France;Carsat;1;1;-167;270;11/05/2019;0
591;France;Brigade de gendarmerie;0;1;17;162;14/01/2020;0
592;France;Carsat;1;0;183;465;01/07/2020;0
594;France;Carsat;1;0;214;1533;01/08/2020;0
596;France;Carsat;1;1;13;1584;13/01/2020;0
597;France;Carsat;0;0;245;293;01/09/2020;0
600;France;ANTS;1;0;60;1292;01/03/2020;0
601;France;Carsat;1;0;26;2917;27/01/2020;0
605;France;Carsat;1;0;485;512;31/05/2021;0
606;France;Carsat;1;1;182;985;01/08/2020;0
607;France;Brigade de gendarmerie;0;0;-18;183;14/01/2020;0
608;France;ANTS;1;0;29;432;01/03/2020;0
609;France;Brigade de gendarmerie;1;0;-71;508;21/01/2020;0
610;France;Unité Numérique;0;0;-78;256;14/01/2020;0
612;France;Carsat;1;0;-108;1290;14/01/2020;0
613;France;Carsat;0;0;-131;1168;22/01/2020;0
615;France;Service des Impôts des particuliers;0;1;353;404;20/05/2021;0
616;France;Carsat;0;0;-139;614;14/01/2020;0
617;France;Carsat;1;0;-139;1654;14/01/2020;0
618;France;Carsat;1;0;-140;1687;13/01/2020;0
619;France;Préfecture;1;1;-136;1561;17/01/2020;0
620;France;ANTS;1;1;351;1657;17/06/2021;0
621;France;Carsat;0;1;-170;723;13/01/2020;0
622;France;Carsat;0;0;-169;304;14/01/2020;0
623;France;Caisse régionale URSSAF;1;0;-120;2364;03/03/2020;0
624;France;ANTS;1;0;-170;336;13/01/2020;0
625;France;ANTS;1;0;-201;297;13/01/2020;0
628;France;ANTS;1;1;30;280;01/10/2020;0
630;France;ANTS;1;1;-232;833;13/01/2020;0
631;France;ANTS;1;1;-225;256;20/01/2020;0
633;France;ANTS;1;0;-225;385;20/01/2020;0
634;France;ANTS;0;0;-230;188;15/01/2020;0
635;France;ANTS;1;0;62;245;02/11/2020;0
637;France;DGFIP;1;1;272;441;31/05/2021;0
639;France;ANTS;1;0;30;288;01/10/2020;0
641;France;ANTS;0;0;-230;599;15/01/2020;0
642;France;ANTS;1;1;-260;226;15/01/2020;0
643;France;ANTS;0;1;-260;208;15/01/2020;0
644;France;Carsat;1;1;-262;893;13/01/2020;0
646;France;ANTS;1;0;-260;1672;15/01/2020;0
647;France;ANTS;0;0;-260;640;15/01/2020;0
648;France;ANTS;1;1;-255;1047;20/01/2020;0
649;France;Carsat;0;0;-191;987;24/03/2020;0
650;France;ANTS;1;1;-260;432;15/01/2020;0
651;France;DGFIP;1;0;242;1305;31/05/2021;0
652;France;Carsat;1;0;-286;1067;20/01/2020;0
653;France;DGFIP;0;0;200;170;20/05/2021;0
654;France;Franceconnect;1;1;-291;202;15/01/2020;0
655;France;ANTS;1;0;-291;720;15/01/2020;0
656;France;ANTS;0;1;-321;1423;15/01/2020;0
657;France;DGFIP;0;0;170;831;20/05/2021;0
659;France;DGFIP;1;1;181;1144;31/05/2021;0
662;France;ANTS;1;0;-321;380;15/01/2020;0
665;France;ANTS;1;0;2;1071;15/01/2020;0
666;France;ANTS;1;0;2;413;15/01/2020;0
669;France;Brigade de gendarmerie;0;0;1;657;14/01/2020;0
670;France;ANTS;1;1;2;1089;15/01/2020;0
671;France;ANTS;1;1;9;3237;22/01/2020;0
672;France;ANTS;0;0;2;667;15/01/2020;0
673;France;Carsat;1;0;7;1017;20/01/2020;0
674;France;ANTS;1;1;9;1801;22/01/2020;0
675;France;DGFIP;1;0;2;489;15/01/2020;0
677;France;ANTS;1;1;2;1046;16/01/2020;0
678;France;ANTS;1;0;2;365;16/01/2020;0
680;France;ANTS;1;1;2;1093;16/01/2020;0
681;France;ANTS;0;0;2;527;16/01/2020;0
682;France;Carsat;0;0;6;411;20/01/2020;0
683;France;ANTS;0;1;2;316;16/01/2020;0
684;France;Carsat;0;0;0;473;14/01/2020;0
685;France;Préfecture;0;0;8;580;22/01/2020;0
686;France;ANTS;1;1;2;185;16/01/2020;0
687;France;Brigade de gendarmerie;0;0;7;1166;21/01/2020;0
688;France;ANTS;0;1;2;1022;16/01/2020;0
689;France;ANTS;1;0;2;251;16/01/2020;0
690;France;Carsat;1;0;7;603;21/01/2020;0
691;France;ANTS;1;1;2;743;16/01/2020;0
693;France;AGENCE POLE EMPLOI (APE);0;0;6;755;21/01/2020;1
695;France;ANTS;1;1;2;917;17/01/2020;0
696;France;DGFIP;0;0;5;413;20/01/2020;0
698;France;ANTS;1;0;11;580;27/01/2020;0
699;France;ANTS;1;1;6;957;22/01/2020;0
700;France;ANTS;1;0;6;885;22/01/2020;0
702;France;Services Publics +;1;0;13;728;30/01/2020;0
704;France;DGFIP;0;0;487;1894;20/05/2021;0
706;France;Brigade de gendarmerie;0;0;4;268;24/01/2020;0
707;France;CNAV;1;0;65;6853;25/03/2020;0
708;France;ANTS;1;0;2;368;22/01/2020;0
709;France;ANTS;0;0;2;135;22/01/2020;0
710;France;ANTS;0;0;1;118;22/01/2020;0
711;France;Ville - Commune;1;0;5;578;27/01/2020;0
712;France;Brigade de gendarmerie;1;1;40;301;02/03/2020;0
713;France;Brigade de gendarmerie;0;0;1;228;24/01/2020;0
714;France;MSA;0;0;1;667;24/01/2020;0
715;France;Carsat;1;0;22;1056;14/02/2020;0
716;France;DGFIP;1;1;483;436;20/05/2021;0
717;France;Brigade de gendarmerie;0;0;131;200;02/06/2020;0
718;France;ANTS;0;0;7;233;31/01/2020;0
719;France;AGENCE POLE EMPLOI (APE);0;0;252;240;02/10/2020;1
720;France;MSA;0;0;69;216;02/04/2020;0
721;France;Brigade de gendarmerie;1;1;129;887;02/06/2020;0
722;France;Préfecture;1;0;98;995;02/05/2020;0
724;France;Brigade de gendarmerie;0;0;129;715;02/06/2020;0
727;France;Carsat;1;0;58;492;23/03/2020;0
730;France;DGFIP;0;0;1;102;28/01/2020;0
731;France;ANTS;1;1;95;1297;02/05/2020;0
734;France;Prime à la conversion;0;0;27;353;25/02/2020;0
735;France;ANTS;0;0;94;320;02/05/2020;0
736;France;AGENCE POLE EMPLOI (APE);0;0;247;1034;02/10/2020;1
737;France;Prime à la conversion;0;0;27;371;25/02/2020;0
738;France;AGENCE POLE EMPLOI (APE);0;0;247;334;02/10/2020;1
739;France;ANTS;1;0;155;522;02/07/2020;0
740;France;ANTS;0;1;1;185;31/01/2020;0
742;France;Prime à la conversion;0;0;25;391;25/02/2020;0
743;France;AGENCE POLE EMPLOI (APE);0;0;245;631;02/10/2020;1
745;France;Brigade de gendarmerie;0;0;123;227;02/06/2020;0
746;France;AGENCE POLE EMPLOI (APE);0;0;245;387;02/10/2020;1
747;France;Brigade de gendarmerie;0;1;152;961;02/06/2020;0
748;France;DGFIP;1;0;48;762;19/02/2020;0
749;France;Brigade de gendarmerie;0;0;152;441;02/06/2020;0
750;France;Carsat;0;1;335;502;02/12/2020;0
751;France;Carsat;1;0;50;768;23/03/2020;0
752;France;Brigade de gendarmerie;0;0;121;436;02/06/2020;0
753;France;Carsat;0;0;90;130;02/05/2020;0
754;France;ANTS;0;0;90;630;02/05/2020;0
755;France;ANTS;0;0;61;121;02/05/2020;0
756;France;Brigade de gendarmerie;0;0;92;340;02/06/2020;0
758;France;Service des Impôts des particuliers;0;0;-45;252;17/02/2020;0
760;France;ANTS;0;0;61;103;02/07/2020;0
761;France;Unité Numérique;0;1;61;371;02/07/2020;0
763;France;ANTS;0;0;30;1126;02/07/2020;0
764;France;MSA;0;0;122;269;02/10/2020;0
765;France;Service des Impôts des particuliers;1;1;352;843;20/05/2021;0
767;France;ANTS;1;1;123;220;02/11/2020;0
769;France;Caisse régionale URSSAF;0;1;179;865;28/12/2020;0
771;France;MSA;0;0;92;364;02/10/2020;0
772;France;Service des Impôts des particuliers;0;0;322;954;20/05/2021;0
773;France;ANTS;0;0;123;146;02/11/2020;0
774;France;ANTS;1;1;-134;959;19/02/2020;0
775;France;ANTS;0;1;92;556;02/11/2020;0
776;France;ANTS;1;0;92;504;02/11/2020;0
777;France;Brigade de gendarmerie;0;0;92;307;02/11/2020;0
778;France;Brigade de gendarmerie;0;0;61;232;02/11/2020;0
779;France;Info Retraite;0;1;-162;303;24/03/2020;0
780;France;Carsat;1;0;-232;480;13/02/2020;0
781;France;Carsat;0;0;61;301;02/12/2020;0
782;France;Carsat;1;0;-231;558;14/02/2020;0
783;France;Carsat;1;0;-231;301;14/02/2020;0
784;France;Carsat;1;0;1;515;03/10/2020;0
785;France;Carsat;0;0;-231;394;14/02/2020;0
786;France;Carsat;0;0;-231;907;14/02/2020;0
787;France;Carsat;1;0;-231;481;14/02/2020;0
789;France;Carsat;1;1;-231;233;14/02/2020;0
792;France;Carsat;0;1;-226;1073;19/02/2020;0
795;France;Carsat;0;0;-232;123;13/02/2020;0
796;France;Carsat;1;1;-227;1422;18/02/2020;0
799;France;Carsat;1;1;-231;438;14/02/2020;0
800;France;AGENCE POLE EMPLOI (APE);0;0;-218;201;27/02/2020;0
801;France;Carsat;1;1;-232;862;13/02/2020;0
802;France;Carsat;1;1;-185;2026;31/03/2020;0
803;France;Caisse régionale URSSAF;0;1;-213;885;03/03/2020;0
804;France;Carsat;0;0;-197;790;19/03/2020;0
805;France;Carsat;0;0;-232;769;13/02/2020;0
807;France;Impots.gouv.fr;1;0;230;702;20/05/2021;0
808;France;AGENCE POLE EMPLOI (APE);1;1;-224;1253;21/02/2020;0
810;France;Service des Impôts des particuliers;1;0;266;1218;25/06/2021;0
811;France;Carsat;0;0;-228;1780;17/02/2020;0
812;France;Carsat;1;0;-185;851;31/03/2020;0
813;France;Brigade de gendarmerie;0;0;30;85;02/12/2020;0
814;France;Caisse régionale URSSAF;1;1;-244;673;03/03/2020;0
815;France;Carsat;0;0;-262;1739;14/02/2020;0
816;France;ANTS;0;0;30;48;02/12/2020;0
817;France;Carsat;1;0;-258;311;18/02/2020;0
818;France;MSA;1;1;-251;695;25/02/2020;0
819;France;Brigade de gendarmerie;0;0;-262;993;14/02/2020;0
820;France;Carsat;1;0;-274;584;03/03/2020;0
821;France;Carsat;0;0;-292;413;14/02/2020;0
823;France;Carsat;0;0;-254;317;23/03/2020;0
825;France;Carsat;1;1;11;508;24/02/2020;0
826;France;Carsat;1;0;203;997;03/09/2020;0
828;France;Carsat;1;1;203;264;03/09/2020;0
829;France;Carsat;1;0;35;1004;19/03/2020;0
830;France;Carsat;0;0;5;380;19/02/2020;0
832;France;ANTS;1;0;5;775;19/02/2020;0
834;France;MSA;1;0;5;956;19/02/2020;0
836;France;Carsat;1;1;45;1496;31/03/2020;0
837;France;Brigade de gendarmerie;0;0;3;59;18/02/2020;0
838;France;Brigade de gendarmerie;0;0;2;76;18/02/2020;0
839;France;Carsat;1;0;8;712;24/02/2020;0
840;France;Carsat;0;0;44;1431;31/03/2020;0
841;France;Carsat;0;0;1;831;18/02/2020;0
842;France;ANTS;1;0;4;1896;21/02/2020;0
843;France;ANTS;1;1;2;314;19/02/2020;0
844;France;ANTS;0;0;1;442;19/02/2020;0
845;France;ANTS;1;1;1;253;19/02/2020;0
846;France;ANTS;1;1;7;198;25/02/2020;0
847;France;Brigade de gendarmerie;1;1;2;430;20/02/2020;0
848;France;ETABLISSEMENT HOSPITALIER;1;0;6;998;24/02/2020;0
849;France;Carsat;0;0;5;40;24/02/2020;0
850;France;Brigade de gendarmerie;0;0;1;226;20/02/2020;0
851;France;Brigade de gendarmerie;0;0;1;374;20/02/2020;0
852;France;ANTS;0;1;2;362;21/02/2020;0
854;France;Brigade de gendarmerie;0;0;2;65;21/02/2020;0
857;France;ANTS;1;0;6;1183;26/02/2020;0
860;France;Brigade de gendarmerie;1;1;5;820;25/02/2020;0
861;France;Brigade de gendarmerie;0;0;1;121;21/02/2020;0
864;France;Carsat;0;0;42;65;03/04/2020;0
865;France;Brigade de gendarmerie;0;0;0;514;21/02/2020;0
866;France;Carsat;1;0;39;1015;31/03/2020;0
867;France;Préfecture;0;0;4;109;25/02/2020;0
868;France;ANTS;0;0;3;255;25/02/2020;0
869;France;ANTS;0;0;2;334;25/02/2020;0
870;France;Brigade de gendarmerie;0;0;2;209;26/02/2020;0
872;France;stationnement.gouv.fr;0;0;486;91;24/06/2021;0
873;France;Brigade de gendarmerie;0;0;2;108;26/02/2020;0
875;France;Brigade de gendarmerie;0;0;39;145;03/04/2020;0
876;France;ANTS;0;1;1;617;25/02/2020;0
877;France;Brigade de gendarmerie;0;0;1;223;26/02/2020;0
878;France;Brigade de gendarmerie;0;0;252;97;03/11/2020;0
879;France;Carsat;1;0;38;382;03/04/2020;0
880;France;Caisse régionale URSSAF;1;0;7;936;03/03/2020;0
881;France;Brigade de gendarmerie;0;1;17;331;13/03/2020;0
882;France;Carsat;0;0;67;192;03/05/2020;0
883;France;Carsat;1;0;34;882;31/03/2020;0
884;France;Caisse régionale URSSAF;1;0;28;1101;25/03/2020;0
885;France;Brigade de gendarmerie;0;0;1;472;27/02/2020;0
886;France;Brigade de gendarmerie;0;0;2;207;28/02/2020;0
888;France;Brigade de gendarmerie;1;0;36;772;03/04/2020;0
890;France;Brigade de gendarmerie;0;0;249;65;03/11/2020;0
891;France;Brigade de gendarmerie;0;0;35;760;03/04/2020;0
893;France;Brigade de gendarmerie;0;0;248;214;03/11/2020;0
894;France;Brigade de gendarmerie;0;0;248;189;03/11/2020;0
895;France;AGENCE POLE EMPLOI (APE);0;0;103;107;15/04/2020;1
897;France;DGFIP;1;1;503;523;20/05/2021;0
899;France;MSA;0;0;60;187;03/04/2020;0
901;France;Brigade de gendarmerie;0;1;29;200;03/03/2020;0
902;France;ANTS;0;0;121;227;03/06/2020;0
903;France;ANTS;0;0;60;239;03/04/2020;0
904;France;AGENCE POLE EMPLOI (APE);0;0;13;1135;16/03/2020;1
905;France;Services Publics +;1;1;31;547;03/04/2020;0
906;France;Brigade de gendarmerie;0;0;245;377;03/11/2020;0
907;France;Brigade de gendarmerie;0;0;245;204;03/11/2020;0
908;France;Caisse régionale URSSAF;1;1;358;458;24/02/2021;0
909;France;Brigade de gendarmerie;0;0;214;365;03/11/2020;0
910;France;Brigade de gendarmerie;0;1;-21;516;13/03/2020;0
911;France;Brigade de gendarmerie;0;0;-21;175;13/03/2020;0
912;France;Carsat;0;0;-11;912;23/03/2020;0
913;France;Brigade de gendarmerie;0;0;214;450;03/11/2020;0
914;France;Brigade de gendarmerie;0;0;214;305;03/11/2020;0
915;France;Brigade de gendarmerie;0;0;214;277;03/11/2020;0
916;France;Brigade de gendarmerie;0;0;-51;444;13/03/2020;0
917;France;Carsat;0;0;214;323;03/12/2020;0
919;France;Services Publics +;0;0;92;1123;03/10/2020;0
922;France;Brigade de gendarmerie;0;0;-109;681;16/03/2020;0
925;France;CAF;0;0;-130;417;26/03/2020;0
926;France;Brigade de gendarmerie;0;0;-138;906;18/03/2020;0
929;France;Brigade de gendarmerie;0;0;-170;561;17/03/2020;0
930;France;Brigade de gendarmerie;0;0;-174;381;13/03/2020;0
931;France;Caisse régionale URSSAF;0;0;139;755;20/01/2021;0
932;France;Brigade de gendarmerie;0;0;91;257;03/12/2020;0
933;France;Brigade de gendarmerie;0;0;-204;234;13/03/2020;0
934;France;Carsat;0;0;-230;365;18/03/2020;0
935;France;Carsat;1;0;-225;1962;23/03/2020;0
937;France;Carsat;0;1;-225;728;23/03/2020;0
938;France;DGFIP;1;0;198;670;20/05/2021;0
940;France;COMMISSARIAT DE POLICE;0;1;-235;463;13/03/2020;0
941;France;Brigade de gendarmerie;0;0;-235;428;13/03/2020;0
942;France;Brigade de gendarmerie;0;0;-235;80;13/03/2020;0
943;France;Brigade de gendarmerie;0;0;-235;71;13/03/2020;0
944;France;Brigade de gendarmerie;0;0;-235;259;13/03/2020;0
945;France;ANTS;1;0;-261;1220;17/03/2020;0
946;France;ANTS;0;0;-261;264;17/03/2020;0
947;France;ANTS;1;0;4;645;17/03/2020;0
948;France;AGENCE POLE EMPLOI (APE);0;0;33;815;15/04/2020;1
949;France;CAF;1;1;12;672;26/03/2020;0
950;France;Brigade de gendarmerie;0;0;3;226;17/03/2020;0
951;France;ANTS;0;0;2;846;17/03/2020;0
953;France;CAF;0;1;402;556;22/04/2021;0
955;France;Brigade de gendarmerie;0;0;2;747;18/03/2020;0
956;France;Brigade de gendarmerie;0;0;2;108;18/03/2020;0
958;France;Unité Numérique;0;0;1;260;18/03/2020;0
959;France;Unité Numérique;0;0;1;53;18/03/2020;0
960;France;Unité Numérique;0;0;1;271;18/03/2020;0
962;France;Carsat;1;0;10;625;31/03/2020;0
964;France;ANTS;0;0;65;126;04/06/2020;0
966;France;CAF;1;0;47;583;20/04/2020;0
967;France;ANTS;1;0;10;1702;14/04/2020;0
968;France;Carsat;0;0;-104;473;22/04/2020;0
969;France;Chèque énergie;1;1;9;907;23/04/2020;0
970;France;Chèque énergie;0;0;8;281;23/04/2020;0
971;France;Chèque énergie;0;0;7;404;23/04/2020;0
972;France;Chèque énergie;0;1;7;235;23/04/2020;0
973;France;Chèque énergie;0;0;34;808;25/05/2020;0
974;France;Chèque énergie;0;0;68;86;29/06/2020;0
975;France;Chèque énergie;1;1;67;486;29/06/2020;0
976;France;DGFIP;1;1;392;1565;20/05/2021;0
977;France;CAF;1;0;73;974;05/07/2020;0
978;France;ANTS;1;1;3;1425;28/04/2020;0
979;France;DGFIP;1;0;400;378;31/05/2021;0
980;France;CAF;1;0;69;648;05/07/2020;0
981;France;ANTS;1;1;2;565;30/04/2020;0
982;France;Centre national PAJEMPLOI;0;0;369;1010;03/05/2021;0
984;France;ANTS;0;0;-25;849;05/04/2020;0
987;France;DGFIP;0;0;452;473;31/05/2021;0
990;France;Chèque énergie;0;0;55;756;29/06/2020;0
991;France;ANTS;1;1;153;980;05/10/2020;0
994;France;Carsat;1;0;93;219;06/09/2020;0
995;France;CPAM;1;0;-51;1039;15/05/2020;0
996;France;Carsat;0;0;-109;533;19/05/2020;0
997;France;Brigade de gendarmerie;0;1;-175;334;14/05/2020;0
998;France;ANTS;1;0;-204;747;15/05/2020;0
999;France;MSA;1;1;13;177;28/05/2020;0
1000;France;Brigade de gendarmerie;1;0;0;486;15/05/2020;0
1002;France;DGFIP;0;0;368;296;20/05/2021;0
1003;France;Impots.gouv.fr;1;0;366;96;20/05/2021;0
1005;France;ANTS;1;0;3;493;25/05/2020;0
1006;France;Oups.gouv.fr;0;1;74;185;06/08/2020;0
1007;France;Unité Numérique;0;0;-48;381;06/04/2020;0
1008;France;ANTS;0;0;5;1094;29/05/2020;0
1009;France;Service des Impôts des particuliers;1;1;396;879;25/06/2021;0
1010;France;Service des Impôts des particuliers;1;0;396;205;25/06/2021;0
1011;France;Service des Impôts des particuliers;0;0;396;639;25/06/2021;0
1012;France;Impots.gouv.fr;1;1;359;330;20/05/2021;0
1013;France;Carsat;1;1;3;296;29/05/2020;0
1014;France;Brigade de gendarmerie;0;0;-51;138;06/04/2020;0
1015;France;ANTS;1;0;1;462;29/05/2020;0
1016;France;Brigade de gendarmerie;0;1;-52;878;06/04/2020;0
1018;France;DGFIP;0;0;366;316;31/05/2021;0
1020;France;ANTS;0;0;61;43;06/05/2020;0
1021;France;ANTS;1;0;61;1268;06/05/2020;0
1023;France;ANTS;0;0;30;448;06/05/2020;0
1024;France;CNAV;0;0;153;521;06/09/2020;0
1025;France;Brigade de gendarmerie;0;0;30;233;06/05/2020;0
1027;France;ANTS;1;1;153;537;06/10/2020;0
1029;France;DGFIP;0;1;298;562;31/05/2021;0
1031;France;DGFIP;1;0;298;1097;31/05/2021;0
1032;France;ANTS;1;1;61;202;06/11/2020;0
1033;France;CAF;1;1;-80;1060;18/06/2020;0
1034;France;Impots.gouv.fr;1;1;-106;930;22/06/2020;0
1035;France;Service des Impôts des particuliers;0;0;195;1550;20/05/2021;0
1036;France;Brigade de gendarmerie;0;0;0;333;06/11/2020;0
1037;France;Brigade de gendarmerie;0;0;4;187;17/06/2020;0
1038;France;Services Publics +;1;0;6;2471;19/06/2020;0
1039;France;Impots.gouv.fr;0;0;8;736;22/06/2020;0
1040;France;Carsat;1;0;10;453;24/06/2020;0
1041;France;ANTS;1;1;2;722;18/06/2020;0
1042;France;ANTS;1;1;8;1325;25/06/2020;0
1043;France;ANTS;0;0;2;756;19/06/2020;0
1044;France;Impots.gouv.fr;0;0;337;452;20/05/2021;0
1045;France;Chèque énergie;0;0;11;167;29/06/2020;0
1046;France;ANTS;1;1;3;548;24/06/2020;0
1047;France;Carsat;0;0;1;415;23/06/2020;0
1049;France;Brigade de gendarmerie;0;0;30;348;24/07/2020;0
1052;France;Services Publics +;1;0;-113;582;07/03/2020;0
1055;France;Unité Numérique;0;0;-174;506;07/01/2020;0
1056;France;Carsat;1;0;15;1176;15/07/2020;0
1059;France;Brigade de gendarmerie;0;0;-76;151;23/07/2020;0
1060;France;Carsat;1;0;3;244;17/07/2020;0
1061;France;Caisse régionale URSSAF;1;0;65;544;17/09/2020;0
1062;France;Caisse régionale URSSAF;0;0;64;619;16/09/2020;0
1063;France;Service-public.fr;0;0;319;760;31/05/2021;0
1064;France;ANTS;1;1;5;1316;21/07/2020;0
1065;France;Caisse régionale URSSAF;1;1;164;498;28/12/2020;0
1067;France;ANTS;1;1;9;1769;28/07/2020;0
1068;France;CAF;1;0;9;832;29/07/2020;0
1070;France;Brigade de gendarmerie;0;0;2;51;23/07/2020;0
1071;France;Brigade de gendarmerie;0;0;2;406;24/07/2020;0
1072;France;CAISSE NATIONALE MILITAIRE DE SECURITE SOCIALE;0;0;0;302;23/07/2020;0
1073;France;Chèque énergie;0;0;300;748;20/05/2021;0
1074;France;Service des Impôts des particuliers;1;1;333;703;25/06/2021;0
1075;France;ANTS;0;1;-141;315;08/03/2020;0
1076;France;ANTS;1;0;-141;534;08/03/2020;0
1077;France;ANTS;1;1;1;807;29/07/2020;0
1078;France;ANTS;1;0;1;1000;29/07/2020;0
1079;France;Préfecture;1;1;2;623;31/07/2020;0
1080;France;ANTS;1;1;-143;672;08/03/2020;0
1081;Espagne;Réseau consulaire;1;0;515;2862;27/12/2021;1
1083;France;Préfecture;0;0;154;473;09/08/2020;0
1085;France;Carsat;1;1;163;464;18/08/2020;0
1086;France;ANTS;1;0;104;103;20/08/2020;0
1088;France;CAF;0;1;48;345;25/08/2020;0
